offence_group,ucr_code,violation,region,year,incidents,incidents_per_100k,base_year,index
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2000,391,1.27,1998,72.57142857142857
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2001,320,1.03,1998,58.85714285714286
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2002,373,1.19,1998,68
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2003,359,1.13,1998,64.57142857142857
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2004,397,1.24,1998,70.85714285714285
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2005,389,1.21,1998,69.14285714285714
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2006,389,1.19,1998,68
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2007,387,1.18,1998,67.42857142857143
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2008,351,1.06,1998,60.57142857142858
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2009,352,1.05,1998,60
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2010,402,1.18,1998,67.42857142857143
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2011,400,1.16,1998,66.28571428571428
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2012,372,1.07,1998,61.142857142857146
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2013,368,1.05,1998,60
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2014,332,0.94,1998,53.714285714285715
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2015,379,1.06,1998,60.57142857142858
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2016,395,1.09,1998,62.28571428571429
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2017,423,1.16,1998,66.28571428571428
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2018,490,1.32,1998,75.42857142857143
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2019,535,1.42,1998,81.14285714285714
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2020,624,1.64,1998,93.71428571428571
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2021,617,1.61,1998,92
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2022,658,1.69,1998,96.57142857142857
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2023,769,1.92,1998,109.71428571428572
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2024,828,2.01,1998,114.85714285714283
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Canada,2025,865,2.08,1998,118.85714285714286
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,1998,153,1.35,1998,100
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,1999,127,1.1,1998,81.4814814814815
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2000,111,0.95,1998,70.37037037037037
